match_id,period,game_clock,match_min,team,opponent,passer,passer_pos,receiver,linesBrokenType,broke_D,broke_M,broke_A,completed,passType,ballHeight,start_x,start_y,end_x,end_y,length,depth_behind,line_x,iso_dist,n_line,near1_x,near1_y,near2_x,near2_y,side,run_x,run_y,run_mag,channel_type,attack_dir
3849,2,5293,88:13,France,Tunisia,Eduardo Camavinga,LB,Kylian Mbappé,,False,False,False,True,S,G,32.22,29.12,40.34,25.29,8.98,7.07,33.27,6.9,5,33.47,25.88,32.58,23.23,Right,5.11,4.43,6.77,Type1_wide,1.0
3849,2,5574,92:54,France,Tunisia,Ousmane Dembele,RW,Axel Disasi,,False,False,False,True,S,G,14.8,-22.2,31.18,-33.18,19.71,3.64,27.53,13.99,5,27.53,-19.67,29.98,-10.71,Left,6.99,-0.82,7.04,Type1_wide,1.0
3849,2,5732,95:32,France,Tunisia,Adrien Rabiot,CM,Eduardo Camavinga,,False,False,False,True,S,G,9.59,26.2,18.24,31.75,10.28,6.98,11.26,10.47,6,18.5,21.29,11.26,23.02,Right,8.58,0.72,8.61,Type1_wide,1.0
3849,2,5739,95:39,France,Tunisia,Eduardo Camavinga,LB,Kylian Mbappé,,False,False,False,True,S,G,27.88,27.99,36.24,11.63,18.37,8.2,28.05,4.68,6,36.89,6.99,36.22,16.72,Right,2.88,0.3,2.9,Type1_wide,1.0
3847,1,173,02:53,United States,Iran,Yunus Musah,CM,Sergiño Dest,,False,False,False,True,S,L,46.71,-32.61,46.37,-32.86,0.42,3.12,43.25,9.79,6,43.25,-23.58,46.79,-17.64,Left,0.76,0.1,0.77,Type1_wide,-1.0
3847,1,274,04:34,Iran,United States,Ali Gholizadeh,RM,Sardar Azmoun,,False,False,False,True,S,G,25.54,-7.22,36.73,-15.46,13.89,10.24,26.49,13.11,5,26.49,-7.27,34.62,-1.55,Left,15.61,2.95,15.88,Type2_halfspace,1.0
3847,1,405,06:45,United States,Iran,Tyler Adams,CM,Antonee Robinson,,False,False,False,True,S,G,22.47,-9.51,41.72,28.64,42.73,9.13,32.59,29.32,6,32.59,0.77,24.71,0.05,Right,14.47,12.69,19.25,Type2_halfspace,-1.0
3847,1,558,09:18,Iran,United States,Sardar Azmoun,CF,Ehsan Hajsafi,,False,False,False,False,O,H,21.57,13.24,34.44,24.37,17.01,13.17,21.27,19.41,4,21.27,10.11,21.92,4.7,Right,17.72,4.47,18.28,Type2_halfspace,1.0
3847,1,971,16:11,United States,Iran,Yunus Musah,CM,Sergiño Dest,,False,False,False,True,S,G,26.35,-13.56,39.15,-25.95,17.81,11.38,27.77,17.1,7,36.08,-9.12,27.77,-12.5,Left,11.54,-3.27,11.99,Type2_halfspace,-1.0
3847,1,1205,20:05,Iran,United States,Majid Hosseini,RCB,Mehdi Taremi,M,False,True,False,True,S,G,25.13,21.92,29.31,12.11,10.66,3.3,26.01,3.64,7,25.69,12.56,30.96,15.49,Right,1.34,1.71,2.17,Type1_wide,1.0
3847,1,1332,22:12,United States,Iran,Yunus Musah,CM,Timothy Weah,,False,False,False,True,T,G,39.68,-21.53,39.01,-14.05,7.51,1.05,37.96,3.46,8,38.58,-10.62,36.87,-20.11,Left,2.24,1.29,2.58,Type1_wide,-1.0
3847,1,1386,23:06,United States,Iran,Josh Sargent,CF,Timothy Weah,,False,False,False,True,F,G,28.07,-10.2,34.05,-16.16,8.45,2.95,31.1,9.15,4,30.54,-24.61,31.97,-2.99,Left,11.5,-5.02,12.55,Type2_halfspace,-1.0
3847,1,1458,24:18,United States,Iran,Weston McKennie,CM,Yunus Musah,,False,False,False,False,O,G,29.55,-7.55,43.54,-22.97,20.82,10.67,32.86,15.15,8,37.82,-8.94,32.86,-10.26,Left,12.67,2.32,12.88,Type2_halfspace,-1.0
3847,1,1506,25:06,Iran,United States,Ehsan Hajsafi,LM,Mehdi Taremi,,False,False,False,False,O,L,1.99,26.72,31.59,24.43,29.69,20.92,10.67,18.67,5,13.6,19.46,13.22,10.35,Right,18.72,6.88,19.94,Type1_wide,1.0
3847,1,1553,25:53,United States,Iran,Weston McKennie,CM,Josh Sargent,,False,False,False,True,T,G,28.13,23.17,42.62,16.23,16.07,11.37,31.25,10.25,6,36.39,8.11,32.77,27.17,Right,8.82,7.23,11.4,Type1_wide,-1.0
3847,1,1557,25:57,United States,Iran,Christian Pulisic,LW,Antonee Robinson,,False,False,False,True,S,V,34.04,22.77,38.06,30.02,8.29,2.34,35.72,7.95,7,35.72,22.42,40.34,19.2,Right,2.81,-0.77,2.91,Type1_wide,-1.0
3847,1,1958,32:38,United States,Iran,Yunus Musah,CM,Sergiño Dest,,False,False,False,True,S,G,26.22,-30.11,38.0,-33.17,12.17,8.94,29.06,10.87,5,34.09,-23.03,29.06,-25.19,Left,7.22,-0.33,7.23,Type1_wide,-1.0
